Date,Order number,Category,Category name,Origin,Remaining (MT)
2026-08-06,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2169
2026-08-06,058620,12A,Alloy Merchant Bars and Light Sections,EU,14703
2026-08-06,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5166
2026-08-06,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,1004
2026-08-06,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,318
2026-08-06,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-06,058625,13,Rebars,EU,26864
2026-08-06,058626,13,Rebars,Turkey,5308
2026-08-06,058627,13,Rebars,Residual,2
2026-08-06,058628,14,Stainless Bars and Light Sections,EU,1909
2026-08-06,058629,14,Stainless Bars and Light Sections,United States of America (the),381
2026-08-06,058630,14,Stainless Bars and Light Sections,Residual,40
2026-08-06,058634,16,Non-alloy and other alloy wire rod,EU,29895
2026-08-06,058635,16,Non-alloy and other alloy wire rod,Residual,1357
2026-08-06,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38454
2026-08-06,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-06,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-06,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,2247
2026-08-06,058642,20,Gas Pipes,EU,3006
2026-08-06,058643,20,Gas Pipes,India,1061
2026-08-06,058644,20,Gas Pipes,Turkey,4237
2026-08-06,058645,20,Gas Pipes,Residual,1218
2026-08-06,058646,21,Hollow Sections,EU,3209
2026-08-06,058647,21,Hollow Sections,Turkey,19603
2026-08-06,058648,21,Hollow Sections,Residual,2437
2026-08-07,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,65974
2026-08-07,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-07,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-07,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,2071
2026-08-07,058604,4,Metallic Coated Sheets,EU,87938
2026-08-07,058605,4,Metallic Coated Sheets,India,20617
2026-08-07,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-07,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-07,058608,4,Metallic Coated Sheets,Residual,14759
2026-08-07,058609,5,Organic Coated Sheets,EU,3114
2026-08-07,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-07,058611,5,Organic Coated Sheets,Residual,323
2026-08-07,058612,6,Tin Mill Products,EU,9206
2026-08-07,058613,6,Tin Mill Products,Japan,78
2026-08-07,058614,6,Tin Mill Products,Korea (the Republic of),281
2026-08-07,058615,6,Tin Mill Products,Residual,5876
2026-08-07,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36793
2026-08-07,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-07,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-07,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2169
2026-08-07,058620,12A,Alloy Merchant Bars and Light Sections,EU,14618
2026-08-07,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5166
2026-08-07,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,855
2026-08-07,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,309
2026-08-07,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-07,058625,13,Rebars,EU,24331
2026-08-07,058626,13,Rebars,Turkey,5308
2026-08-07,058627,13,Rebars,Residual,2
2026-08-07,058628,14,Stainless Bars and Light Sections,EU,1884
2026-08-07,058629,14,Stainless Bars and Light Sections,United States of America (the),381
2026-08-07,058630,14,Stainless Bars and Light Sections,Residual,37
2026-08-07,058634,16,Non-alloy and other alloy wire rod,EU,29771
2026-08-07,058635,16,Non-alloy and other alloy wire rod,Residual,1357
2026-08-07,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38454
2026-08-07,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-07,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-07,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,2247
2026-08-07,058642,20,Gas Pipes,EU,2967
2026-08-07,058643,20,Gas Pipes,India,1061
2026-08-07,058644,20,Gas Pipes,Turkey,4237
2026-08-07,058645,20,Gas Pipes,Residual,1217
2026-08-07,058646,21,Hollow Sections,EU,3060
2026-08-07,058647,21,Hollow Sections,Turkey,19603
2026-08-07,058648,21,Hollow Sections,Residual,2437
2026-08-08,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,64830
2026-08-08,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-08,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-08,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,1918
2026-08-08,058604,4,Metallic Coated Sheets,EU,85887
2026-08-08,058605,4,Metallic Coated Sheets,India,20617
2026-08-08,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-08,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-08,058608,4,Metallic Coated Sheets,Residual,14758
2026-08-08,058609,5,Organic Coated Sheets,EU,3027
2026-08-08,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-08,058611,5,Organic Coated Sheets,Residual,323
2026-08-08,058612,6,Tin Mill Products,EU,9196
2026-08-08,058613,6,Tin Mill Products,Japan,78
2026-08-08,058614,6,Tin Mill Products,Korea (the Republic of),281
2026-08-08,058615,6,Tin Mill Products,Residual,5876
2026-08-08,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36480
2026-08-08,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-08,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-08,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2131
2026-08-08,058620,12A,Alloy Merchant Bars and Light Sections,EU,14574
2026-08-08,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5166
2026-08-08,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,702
2026-08-08,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,309
2026-08-08,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-08,058625,13,Rebars,EU,24327
2026-08-08,058626,13,Rebars,Turkey,5308
2026-08-08,058627,13,Rebars,Residual,2
2026-08-08,058628,14,Stainless Bars and Light Sections,EU,1877
2026-08-08,058629,14,Stainless Bars and Light Sections,United States of America (the),381
2026-08-08,058630,14,Stainless Bars and Light Sections,Residual,37
2026-08-08,058634,16,Non-alloy and other alloy wire rod,EU,29748
2026-08-08,058635,16,Non-alloy and other alloy wire rod,Residual,1357
2026-08-08,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38454
2026-08-08,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-08,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-08,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,1939
2026-08-08,058642,20,Gas Pipes,EU,2963
2026-08-08,058643,20,Gas Pipes,India,1035
2026-08-08,058644,20,Gas Pipes,Turkey,4011
2026-08-08,058645,20,Gas Pipes,Residual,1217
2026-08-08,058646,21,Hollow Sections,EU,2912
2026-08-08,058647,21,Hollow Sections,Turkey,19603
2026-08-08,058648,21,Hollow Sections,Residual,2436
2026-08-09,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,64830
2026-08-09,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-09,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-09,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,1918
2026-08-09,058604,4,Metallic Coated Sheets,EU,85887
2026-08-09,058605,4,Metallic Coated Sheets,India,20617
2026-08-09,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-09,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-09,058608,4,Metallic Coated Sheets,Residual,14758
2026-08-09,058609,5,Organic Coated Sheets,EU,3027
2026-08-09,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-09,058611,5,Organic Coated Sheets,Residual,323
2026-08-09,058612,6,Tin Mill Products,EU,9196
2026-08-09,058613,6,Tin Mill Products,Japan,78
2026-08-09,058614,6,Tin Mill Products,Korea (the Republic of),281
2026-08-09,058615,6,Tin Mill Products,Residual,5876
2026-08-09,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36480
2026-08-09,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-09,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-09,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2131
2026-08-09,058620,12A,Alloy Merchant Bars and Light Sections,EU,14574
2026-08-09,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5166
2026-08-09,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,702
2026-08-09,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,309
2026-08-09,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-09,058625,13,Rebars,EU,24327
2026-08-09,058626,13,Rebars,Turkey,5308
2026-08-09,058627,13,Rebars,Residual,2
2026-08-09,058628,14,Stainless Bars and Light Sections,EU,1877
2026-08-09,058629,14,Stainless Bars and Light Sections,United States of America (the),381
2026-08-09,058630,14,Stainless Bars and Light Sections,Residual,37
2026-08-09,058634,16,Non-alloy and other alloy wire rod,EU,29748
2026-08-09,058635,16,Non-alloy and other alloy wire rod,Residual,1357
2026-08-09,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38454
2026-08-09,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-09,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-09,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,1939
2026-08-09,058642,20,Gas Pipes,EU,2963
2026-08-09,058643,20,Gas Pipes,India,1035
2026-08-09,058644,20,Gas Pipes,Turkey,4011
2026-08-09,058645,20,Gas Pipes,Residual,1217
2026-08-09,058646,21,Hollow Sections,EU,2912
2026-08-09,058647,21,Hollow Sections,Turkey,19603
2026-08-09,058648,21,Hollow Sections,Residual,2436
2026-08-10,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,64830
2026-08-10,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-10,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-10,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,1918
2026-08-10,058604,4,Metallic Coated Sheets,EU,85887
2026-08-10,058605,4,Metallic Coated Sheets,India,20617
2026-08-10,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-10,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-10,058608,4,Metallic Coated Sheets,Residual,14758
2026-08-10,058609,5,Organic Coated Sheets,EU,3027
2026-08-10,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-10,058611,5,Organic Coated Sheets,Residual,323
2026-08-10,058612,6,Tin Mill Products,EU,9196
2026-08-10,058613,6,Tin Mill Products,Japan,78
2026-08-10,058614,6,Tin Mill Products,Korea (the Republic of),281
2026-08-10,058615,6,Tin Mill Products,Residual,5876
2026-08-10,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36480
2026-08-10,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
